Team,Diff,Opposition,Ground,Match Date,year,opponnents,home_standing,away_standing,temp,pressure,wind
Wales,8,v Italy,Millennium Stadium,2014-02-01,2014,Italy,80.19,73.13,3,1019,14
France,2,v England,Stade de France,2014-02-01,2014,England,80.87,85.7,0,1017,5
France,-5,v Wales,Stade de France,2019-02-01,2019,Wales,77.34,87.26,0,1017,5
Ireland,7,v Scotland,Lansdowne Road,2020-02-01,2020,Scotland,84.24,81.21,0,1020,29
Wales,42,v Italy,Millennium Stadium,2020-02-01,2020,Italy,79.77,70.88,3,1019,14
Ireland,10,v England,Lansdowne Road,2015-03-01,2015,England,82.13,85.68,0,1020,29
Scotland,12,v Wales,Murrayfield,2007-02-10,2007,Wales,76.73,76.87,4,1017,7
England,13,v Italy,Twickenham,2007-02-10,2007,Italy,78.61,72.79,2,1017,11
Italy,-4,v England,Rome,2008-02-10,2008,England,73.29,85.57,8,1004,17
Ireland,-6,v England,Lansdowne Road,2013-02-10,2013,England,80.22,83.9,0,1020,29
Ireland,37,v Italy,Lansdowne Road,2018-02-10,2018,Italy,86.4,71.27,0,1020,29
England,6,v Wales,Twickenham,2018-02-10,2018,Wales,90.88,82.09,2,1017,11
England,36,v France,Twickenham,2019-02-10,2019,France,86.23,77.34,2,1017,11
Scotland,-1,v Ireland,Murrayfield,2007-03-10,2007,Ireland,76.73,84.67,4,1017,7
Italy,3,v Wales,Rome,2007-03-10,2007,Wales,72.79,76.87,8,1004,17
Ireland,18,v Scotland,Lansdowne Road,2012-03-10,2012,Scotland,80.65,76.2,0,1020,29
Wales,21,v Italy,Millennium Stadium,2012-03-10,2012,Italy,79.61,73.99,3,1019,14
England,7,v Italy,Twickenham,2013-03-10,2013,Italy,83.9,76.24,2,1017,11
Wales,13,v Ireland,Millennium Stadium,2017-03-10,2017,Ireland,82.56,84.63,3,1019,14
Ireland,20,v Scotland,Lansdowne Road,2018-03-10,2018,Scotland,86.4,84.13,0,1020,29
France,6,v England,Stade de France,2018-03-10,2018,England,78.11,90.88,0,1017,5
Ireland,12,v France,Lansdowne Road,2019-03-10,2019,France,91.18,77.34,0,1020,29
Italy,-15,v England,Rome,2006-02-11,2006,England,72.18,83.27,8,1004,17
France,12,v Ireland,Stade de France,2006-02-11,2006,Ireland,86.1,80.03,0,1017,5
Ireland,-3,v France,Croke Park,2007-02-11,2007,France,84.67,85.87,0,1020,29
Italy,-4,v England,Rome,2012-02-11,2012,England,73.99,81.58,8,1004,17
Wales,-5,v England,Millennium Stadium,2017-02-11,2017,England,82.56,90.47,3,1019,14
Italy,-53,v Ireland,Rome,2017-02-11,2017,Ireland,72.5,84.63,8,1004,17
Scotland,6,v France,Murrayfield,2018-02-11,2018,France,84.13,78.11,4,1017,7
Ireland,6,v Scotland,Lansdowne Road,2006-03-11,2006,Scotland,80.03,73.52,0,1020,29
Wales,0,v Italy,Millennium Stadium,2006-03-11,2006,Italy,82.54,72.18,3,1019,14
England,8,v France,Twickenham,2007-03-11,2007,France,78.61,85.87,2,1017,11
France,-2,v England,Stade de France,2012-03-11,2012,England,84.7,81.58,0,1017,5
Italy,-22,v France,Rome,2017-03-11,2017,France,72.5,80.14,8,1004,17
England,40,v Scotland,Twickenham,2017-03-11,2017,Scotland,90.47,80.71,2,1017,11
Wales,24,v Italy,Millennium Stadium,2018-03-11,2018,Italy,82.09,71.27,3,1019,14
Scotland,-27,v Ireland,Murrayfield,2005-02-12,2005,Ireland,74.65,82.61,4,1017,7
Italy,-30,v Wales,Rome,2005-02-12,2005,Wales,72.51,76.91,8,1004,17
Wales,10,v Scotland,Millennium Stadium,2006-02-12,2006,Scotland,82.54,73.52,3,1019,14
Scotland,-18,v Wales,Murrayfield,2011-02-12,2011,Wales,81.2,77.04,4,1017,7
England,46,v Italy,Twickenham,2011-02-12,2011,Italy,82.48,73.31,2,1017,11
Wales,14,v Scotland,Millennium Stadium,2012-02-12,2012,Scotland,79.61,76.2,3,1019,14
France,6,v Scotland,Stade de France,2017-02-12,2017,Scotland,80.14,80.71,0,1017,5
Ireland,-7,v France,Lansdowne Road,2005-03-12,2005,France,82.61,83.7,0,1020,29
England,32,v Italy,Twickenham,2005-03-12,2005,Italy,86.59,72.51,2,1017,11
France,25,v England,Stade de France,2006-03-12,2006,England,86.1,83.27,0,1017,5
Wales,6,v Ireland,Millennium Stadium,2011-03-12,2011,Ireland,77.04,81.79,3,1019,14
Italy,1,v France,Rome,2011-03-12,2011,France,73.31,81.66,8,1004,17
Ireland,43,v Italy,Lansdowne Road,2016-03-12,2016,Italy,81.17,72.79,0,1020,29
England,4,v Wales,Twickenham,2016-03-12,2016,Wales,79.76,83.49,2,1017,11
England,-1,v France,Twickenham,2005-02-13,2005,France,86.59,83.7,2,1017,11
Wales,7,v Scotland,Millennium Stadium,2010-02-13,2010,Scotland,79.89,76.59,3,1019,14
France,23,v Ireland,Stade de France,2010-02-13,2010,Ireland,82.41,84.6,0,1017,5
Ireland,-3,v France,Lansdowne Road,2011-02-13,2011,France,81.79,81.66,0,1020,29
Wales,4,v Scotland,Millennium Stadium,2016-02-13,2016,Scotland,83.49,78.01,3,1019,14
France,1,v Ireland,Stade de France,2016-02-13,2016,Ireland,79.77,81.17,0,1017,5
Scotland,-24,v Wales,Murrayfield,2005-03-13,2005,Wales,74.65,76.91,4,1017,7
Ireland,15,v Wales,Croke Park,2010-03-13,2010,Wales,84.6,79.89,0,1020,29
Scotland,0,v England,Murrayfield,2010-03-13,2010,England,76.59,80.72,4,1017,7
England,6,v Scotland,Twickenham,2011-03-13,2011,Scotland,82.48,81.2,2,1017,11
Scotland,11,v France,Murrayfield,2016-03-13,2016,France,78.01,79.77,4,1017,7
Wales,13,v Scotland,Millennium Stadium,2004-02-14,2004,Scotland,76.92,76.36,3,1019,14
France,18,v Ireland,Stade de France,2004-02-14,2004,Ireland,82.71,80.53,0,1017,5
Wales,8,v England,Millennium Stadium,2009-02-14,2009,England,81.03,80.87,3,1019,14
France,9,v Scotland,Stade de France,2009-02-14,2009,Scotland,79.51,76.75,0,1017,5
Italy,-5,v England,Rome,2010-02-14,2010,England,72.59,80.72,8,1004,17
Ireland,7,v France,Lansdowne Road,2015-02-14,2015,France,82.13,80.07,0,1020,29
England,30,v Italy,Twickenham,2015-02-14,2015,Italy,85.68,72.05,2,1017,11
Italy,-31,v England,Rome,2016-02-14,2016,England,72.79,79.76,8,1004,17
Scotland,-7,v Ireland,Murrayfield,2009-03-14,2009,Ireland,76.75,78.51,4,1017,7
Italy,-5,v Wales,Rome,2009-03-14,2009,Wales,74.56,81.03,8,1004,17
France,26,v Italy,Stade de France,2010-03-14,2010,Italy,82.41,72.59,0,1017,5
Wales,7,v Ireland,Millennium Stadium,2015-03-14,2015,Ireland,80.7,82.13,3,1019,14
England,12,v Scotland,Twickenham,2015-03-14,2015,Scotland,85.68,75.16,2,1017,11
Italy,-41,v England,Rome,2004-02-15,2004,England,71.88,93.99,8,1004,17
Italy,-29,v Ireland,Rome,2009-02-15,2009,Ireland,74.56,78.51,8,1004,17
Scotland,-3,v Wales,Murrayfield,2015-02-15,2015,Wales,75.16,80.7,4,1017,7
Wales,17,v France,Millennium Stadium,2008-03-15,2008,France,74.17,80.36,3,1019,14
Italy,3,v Scotland,Rome,2008-03-15,2008,Scotland,73.29,76.7,8,1004,17
England,23,v Ireland,Twickenham,2008-03-15,2008,Ireland,85.57,78.67,2,1017,11
England,24,v France,Twickenham,2009-03-15,2009,France,80.87,79.51,2,1017,11
Wales,48,v Scotland,Millennium Stadium,2014-03-15,2014,Scotland,80.19,76.56,3,1019,14
Italy,-41,v England,Rome,2014-03-15,2014,England,73.13,85.7,8,1004,17
France,-2,v Ireland,Stade de France,2014-03-15,2014,Ireland,80.87,79.33,0,1017,5
Italy,-29,v France,Rome,2015-03-15,2015,France,72.05,80.07,8,1004,17
Wales,27,v England,Millennium Stadium,2013-03-16,2013,England,78.39,83.9,3,1019,14
Italy,7,v Ireland,Rome,2013-03-16,2013,Ireland,76.24,80.22,8,1004,17
France,7,v Scotland,Stade de France,2013-03-16,2013,Scotland,85.07,75.83,0,1017,5
Wales,18,v Ireland,Millennium Stadium,2019-03-16,2019,Ireland,87.26,91.18,3,1019,14
Italy,-11,v France,Rome,2019-03-16,2019,France,72.76,77.34,8,1004,17
England,0,v Scotland,Twickenham,2019-03-16,2019,Scotland,86.23,81.86,2,1017,11
Wales,9,v England,Millennium Stadium,2007-03-17,2007,England,76.87,78.61,3,1019,14
Italy,-27,v Ireland,Rome,2007-03-17,2007,Ireland,72.79,84.67,8,1004,17
France,27,v Scotland,Stade de France,2007-03-17,2007,Scotland,85.87,76.73,0,1017,5
Wales,7,v France,Millennium Stadium,2012-03-17,2012,France,79.61,84.7,3,1019,14
Italy,7,v Scotland,Rome,2012-03-17,2012,Scotland,73.99,76.2,8,1004,17
England,21,v Ireland,Twickenham,2012-03-17,2012,Ireland,81.58,80.65,2,1017,11
Wales,1,v France,Millennium Stadium,2018-03-17,2018,France,82.09,78.11,3,1019,14
Italy,-2,v Scotland,Rome,2018-03-17,2018,Scotland,71.27,84.13,8,1004,17
England,-9,v Ireland,Twickenham,2018-03-17,2018,Ireland,90.88,86.4,2,1017,11
Wales,-5,v France,Millennium Stadium,2006-03-18,2006,France,82.54,86.1,3,1019,14
Italy,-3,v Scotland,Rome,2006-03-18,2006,Scotland,72.18,73.52,8,1004,17
England,-4,v Ireland,Twickenham,2006-03-18,2006,Ireland,83.27,80.03,2,1017,11
Ireland,4,v England,Lansdowne Road,2017-03-18,2017,England,84.63,90.47,0,1020,29
Scotland,29,v Italy,Murrayfield,2017-03-18,2017,Italy,80.71,72.5,4,1017,7
France,2,v Wales,Stade de France,2017-03-18,2017,Wales,80.14,82.56,0,1017,5
Wales,12,v Ireland,Millennium Stadium,2005-03-19,2005,Ireland,76.91,82.61,3,1019,14
Italy,-43,v France,Rome,2005-03-19,2005,France,72.51,83.7,8,1004,17
England,21,v Scotland,Twickenham,2005-03-19,2005,Scotland,86.59,74.65,2,1017,11
Ireland,16,v England,Lansdowne Road,2011-03-19,2011,England,81.79,82.48,0,1020,29
Scotland,13,v Italy,Murrayfield,2011-03-19,2011,Italy,81.2,73.31,4,1017,7
France,19,v Wales,Stade de France,2011-03-19,2011,Wales,81.66,77.04,0,1017,5
Ireland,10,v Scotland,Lansdowne Road,2016-03-19,2016,Scotland,81.17,78.01,0,1020,29
Wales,53,v Italy,Millennium Stadium,2016-03-19,2016,Italy,83.49,72.79,3,1019,14
France,-10,v England,Stade de France,2016-03-19,2016,England,79.77,79.76,0,1017,5
Ireland,5,v Italy,Croke Park,2008-02-02,2008,Italy,78.67,73.29,0,1020,29
England,-7,v Wales,Twickenham,2008-02-02,2008,Wales,85.57,74.17,2,1017,11
Wales,-8,v Ireland,Millennium Stadium,2013-02-02,2013,Ireland,78.39,80.22,3,1019,14
England,20,v Scotland,Twickenham,2013-02-02,2013,Scotland,83.9,75.83,2,1017,11
Ireland,22,v Scotland,Lansdowne Road,2014-02-02,2014,Scotland,79.33,76.56,0,1020,29
Ireland,-12,v England,Lansdowne Road,2019-02-02,2019,England,91.18,86.23,0,1020,29
Scotland,13,v Italy,Murrayfield,2019-02-02,2019,Italy,81.86,72.76,4,1017,7
France,7,v England,Stade de France,2020-02-02,2020,England,85.66,88.73,0,1017,5
Ireland,16,v Italy,Lansdowne Road,2004-03-20,2004,Italy,80.53,71.88,0,1020,29
England,10,v Wales,Twickenham,2004-03-20,2004,Wales,93.99,76.92,2,1017,11
Ireland,-3,v Scotland,Croke Park,2010-03-20,2010,Scotland,84.6,76.59,0,1020,29
Wales,23,v Italy,Millennium Stadium,2010-03-20,2010,Italy,79.89,72.59,3,1019,14
France,2,v England,Stade de France,2010-03-20,2010,England,82.41,80.72,0,1017,5
Scotland,-22,v England,Murrayfield,2004-02-21,2004,England,76.36,93.99,4,1017,7
France,25,v Italy,Stade de France,2004-02-21,2004,Italy,82.71,71.88,0,1017,5
Wales,21,v France,Millennium Stadium,2014-02-21,2014,France,80.19,80.87,3,1019,14
Scotland,-31,v France,Murrayfield,2004-03-21,2004,France,76.36,82.71,4,1017,7
Wales,-2,v Ireland,Millennium Stadium,2009-03-21,2009,Ireland,81.03,78.51,3,1019,14
Italy,-42,v France,Rome,2009-03-21,2009,France,74.56,79.51,8,1004,17
England,14,v Scotland,Twickenham,2009-03-21,2009,Scotland,80.87,76.75,2,1017,11
Scotland,-30,v Ireland,Murrayfield,2015-03-21,2015,Ireland,75.16,82.13,4,1017,7
Italy,-41,v Wales,Rome,2015-03-21,2015,Wales,72.05,80.7,8,1004,17
England,20,v France,Twickenham,2015-03-21,2015,France,85.68,80.07,2,1017,11
Ireland,21,v Wales,Lansdowne Road,2004-02-22,2004,Wales,80.53,76.92,0,1020,29
Italy,-1,v Scotland,Rome,2014-02-22,2014,Scotland,73.13,76.56,8,1004,17
England,3,v Ireland,Twickenham,2014-02-22,2014,Ireland,85.7,79.33,2,1017,11
Wales,-4,v France,Millennium Stadium,2020-02-22,2020,France,79.77,85.66,3,1019,14
Italy,-17,v Scotland,Rome,2020-02-22,2020,Scotland,70.88,81.21,8,1004,17
Ireland,21,v Scotland,Croke Park,2008-02-23,2008,Scotland,78.67,76.7,0,1020,29
Wales,39,v Italy,Millennium Stadium,2008-02-23,2008,Italy,74.17,73.29,3,1019,14
France,-11,v England,Stade de France,2008-02-23,2008,England,80.36,85.57,0,1017,5
Italy,-17,v Wales,Rome,2013-02-23,2013,Wales,76.24,78.39,8,1004,17
England,10,v France,Twickenham,2013-02-23,2013,France,83.9,85.07,2,1017,11
France,17,v Italy,Marseille,2018-02-23,2018,Italy,78.11,71.27,0,1017,5
Wales,8,v England,Millennium Stadium,2019-02-23,2019,England,87.26,86.23,3,1019,14
France,17,v Scotland,Stade de France,2019-02-23,2019,Scotland,77.34,81.86,0,1017,5
England,12,v Ireland,Twickenham,2020-02-23,2020,Ireland,88.73,84.24,2,1017,11
Ireland,30,v England,Croke Park,2007-02-24,2007,England,84.67,78.61,0,1020,29
Scotland,-20,v Italy,Murrayfield,2007-02-24,2007,Italy,76.73,72.79,4,1017,7
France,11,v Wales,Stade de France,2007-02-24,2007,Wales,85.87,76.87,0,1017,5
Scotland,4,v Ireland,Murrayfield,2013-02-24,2013,Ireland,75.83,80.22,4,1017,7
Ireland,10,v Wales,Lansdowne Road,2018-02-24,2018,Wales,86.4,82.09,0,1020,29
Scotland,12,v England,Murrayfield,2018-02-24,2018,England,84.13,90.88,4,1017,7
Italy,-10,v Ireland,Rome,2019-02-24,2019,Ireland,72.76,91.18,8,1004,17
Ireland,33,v Italy,Lansdowne Road,2020-10-24,2020,Italy,84.24,70.88,0,1020,29
Scotland,6,v England,Murrayfield,2006-02-25,2006,England,73.52,83.27,4,1017,7
France,25,v Italy,Stade de France,2006-02-25,2006,Italy,86.1,72.18,0,1017,5
Ireland,32,v Italy,Lansdowne Road,2012-02-25,2012,Italy,80.65,73.99,0,1020,29
England,-7,v Wales,Twickenham,2012-02-25,2012,Wales,81.58,79.61,2,1017,11
Ireland,10,v France,Lansdowne Road,2017-02-25,2017,France,84.63,80.14,0,1020,29
Scotland,16,v Wales,Murrayfield,2017-02-25,2017,Wales,80.71,82.56,4,1017,7
Scotland,8,v Italy,Murrayfield,2005-02-26,2005,Italy,74.65,72.51,4,1017,7
France,-6,v Wales,Stade de France,2005-02-26,2005,Wales,83.7,76.91,0,1017,5
Ireland,26,v Wales,Lansdowne Road,2006-02-26,2006,Wales,80.03,82.54,0,1020,29
Wales,-6,v France,Millennium Stadium,2010-02-26,2010,France,79.89,82.41,3,1019,14
Italy,-8,v Wales,Rome,2011-02-26,2011,Wales,73.31,77.04,8,1004,17
England,8,v France,Twickenham,2011-02-26,2011,France,82.48,81.66,2,1017,11
Scotland,-6,v France,Murrayfield,2012-02-26,2012,France,76.2,84.7,4,1017,7
Wales,9,v France,Millennium Stadium,2016-02-26,2016,France,83.49,79.77,3,1019,14
England,21,v Italy,Twickenham,2017-02-26,2017,Italy,90.47,72.5,2,1017,11
Ireland,6,v England,Lansdowne Road,2005-02-27,2005,England,82.61,86.59,0,1020,29
France,5,v Wales,Stade de France,2009-02-27,2009,Wales,79.51,81.03,0,1017,5
Italy,4,v Scotland,Rome,2010-02-27,2010,Scotland,72.59,76.59,8,1004,17
England,-4,v Ireland,Twickenham,2010-02-27,2010,Ireland,80.72,84.6,2,1017,11
Scotland,-3,v Ireland,Murrayfield,2011-02-27,2011,Ireland,81.2,81.79,4,1017,7
Italy,-16,v Scotland,Rome,2016-02-27,2016,Scotland,72.79,78.01,8,1004,17
England,11,v Ireland,Twickenham,2016-02-27,2016,Ireland,79.76,81.17,2,1017,11
Ireland,21,v Scotland,Lansdowne Road,2004-03-27,2004,Scotland,80.53,76.36,0,1020,29
Wales,34,v Italy,Millennium Stadium,2004-03-27,2004,Italy,76.92,71.88,3,1019,14
France,3,v England,Stade de France,2004-03-27,2004,England,82.71,93.99,0,1017,5
Ireland,1,v England,Croke Park,2009-02-28,2009,England,78.51,80.87,0,1020,29
Scotland,20,v Italy,Murrayfield,2009-02-28,2009,Italy,76.75,74.56,4,1017,7
Scotland,-3,v Italy,Murrayfield,2015-02-28,2015,Italy,75.16,72.05,4,1017,7
France,-7,v Wales,Stade de France,2015-02-28,2015,Wales,80.07,80.7,0,1017,5
Italy,-36,v France,Rome,2007-02-03,2007,France,72.79,85.87,8,1004,17
England,22,v Scotland,Twickenham,2007-02-03,2007,Scotland,78.61,76.73,2,1017,11
Scotland,-21,v France,Murrayfield,2008-02-03,2008,France,76.7,80.36,4,1017,7
Italy,5,v France,Rome,2013-02-03,2013,France,76.24,85.07,8,1004,17
Wales,27,v Scotland,Millennium Stadium,2018-02-03,2018,Scotland,82.09,84.13,3,1019,14
France,-2,v Ireland,Stade de France,2018-02-03,2018,Ireland,78.11,86.4,0,1017,5
Wales,-4,v Scotland,Llanelli,2020-10-31,2020,Scotland,79.77,81.21,3,1019,14
Italy,-29,v England,Rome,2020-10-31,2020,England,70.88,88.73,8,1004,17
France,8,v Ireland,Stade de France,2020-10-31,2020,Ireland,85.66,84.24,0,1017,5
Ireland,10,v Italy,Lansdowne Road,2006-02-04,2006,Italy,80.03,72.18,0,1020,29
England,34,v Wales,Twickenham,2006-02-04,2006,Wales,83.27,82.54,2,1017,11
Wales,-10,v Ireland,Millennium Stadium,2007-02-04,2007,Ireland,76.87,84.67,3,1019,14
Wales,-7,v England,Millennium Stadium,2011-02-04,2011,England,77.04,82.48,3,1019,14
Scotland,-7,v England,Murrayfield,2012-02-04,2012,England,76.2,81.58,4,1017,7
France,18,v Italy,Stade de France,2012-02-04,2012,Italy,84.7,73.99,0,1017,5
Scotland,5,v Ireland,Murrayfield,2017-02-04,2017,Ireland,80.71,84.63,4,1017,7
England,3,v France,Twickenham,2017-02-04,2017,France,90.47,80.14,2,1017,11
Italy,-31,v England,Rome,2018-02-04,2018,England,71.27,90.88,8,1004,17
France,0,v Ireland,Stade de France,2012-03-04,2012,Ireland,84.7,80.65,0,1017,5
Wales,2,v England,Millennium Stadium,2005-02-05,2005,England,76.91,86.59,3,1019,14
France,7,v Scotland,Stade de France,2005-02-05,2005,Scotland,83.7,74.65,0,1017,5
Scotland,4,v France,Murrayfield,2006-02-05,2006,France,73.52,86.1,4,1017,7
Italy,-2,v Ireland,Rome,2011-02-05,2011,Ireland,73.31,81.79,8,1004,17
France,13,v Scotland,Stade de France,2011-02-05,2011,Scotland,81.66,81.2,0,1017,5
Ireland,-2,v Wales,Lansdowne Road,2012-02-05,2012,Wales,80.65,79.61,0,1020,29
Italy,-26,v Wales,Rome,2017-02-05,2017,Wales,72.5,82.56,8,1004,17
Italy,-11,v Ireland,Rome,2005-02-06,2005,Ireland,72.51,82.61,8,1004,17
Ireland,18,v Italy,Croke Park,2010-02-06,2010,Italy,84.6,72.59,0,1020,29
England,13,v Wales,Twickenham,2010-02-06,2010,Wales,80.72,79.89,2,1017,11
Wales,-5,v England,Millennium Stadium,2015-02-06,2015,England,80.7,85.68,3,1019,14
Scotland,-6,v England,Murrayfield,2016-02-06,2016,England,78.01,79.76,4,1017,7
France,2,v Italy,Stade de France,2016-02-06,2016,Italy,79.77,72.79,0,1017,5
Italy,6,v Scotland,Rome,2004-03-06,2004,Scotland,71.88,76.36,8,1004,17
England,-6,v Ireland,Twickenham,2004-03-06,2004,Ireland,93.99,80.53,2,1017,11
Ireland,9,v France,Croke Park,2009-02-07,2009,France,78.51,79.51,0,1020,29
England,25,v Italy,Twickenham,2009-02-07,2009,Italy,80.87,74.56,2,1017,11
Scotland,-9,v France,Murrayfield,2010-02-07,2010,France,76.59,82.41,4,1017,7
Italy,-23,v Ireland,Rome,2015-02-07,2015,Ireland,72.05,82.13,8,1004,17
France,7,v Scotland,Stade de France,2015-02-07,2015,Scotland,80.07,75.16,0,1017,5
Ireland,0,v Wales,Lansdowne Road,2016-02-07,2016,Wales,81.17,83.49,0,1020,29
Wales,-7,v France,Millennium Stadium,2004-03-07,2004,France,76.92,82.71,3,1019,14
England,3,v Wales,Twickenham,2020-03-07,2020,Wales,88.73,79.77,2,1017,11
Scotland,-13,v Wales,Murrayfield,2009-02-08,2009,Wales,76.75,81.03,4,1017,7
Ireland,23,v Wales,Lansdowne Road,2014-02-08,2014,Wales,79.33,80.19,0,1020,29
Scotland,-20,v England,Murrayfield,2014-02-08,2014,England,76.56,85.7,4,1017,7
Ireland,10,v Wales,Lansdowne Road,2020-02-08,2020,Wales,84.24,79.77,0,1020,29
Scotland,-7,v England,Murrayfield,2020-02-08,2020,England,81.21,88.73,4,1017,7
Ireland,-4,v Wales,Croke Park,2008-03-08,2008,Wales,78.67,74.17,0,1020,29
Scotland,6,v England,Murrayfield,2008-03-08,2008,England,76.7,85.57,4,1017,7
Ireland,39,v Italy,Lansdowne Road,2014-03-08,2014,Italy,79.33,73.13,0,1020,29
Scotland,-2,v France,Murrayfield,2014-03-08,2014,France,76.56,80.87,4,1017,7
Scotland,11,v France,Murrayfield,2020-03-08,2020,France,81.21,85.66,4,1017,7
Wales,15,v Scotland,Millennium Stadium,2008-02-09,2008,Scotland,74.17,76.7,3,1019,14
France,5,v Ireland,Stade de France,2008-02-09,2008,Ireland,80.36,78.67,0,1017,5
Scotland,24,v Italy,Murrayfield,2013-02-09,2013,Italy,75.83,76.24,4,1017,7
France,-10,v Wales,Stade de France,2013-02-09,2013,Wales,85.07,78.39,0,1017,5
France,20,v Italy,Stade de France,2014-02-09,2014,Italy,80.87,73.13,0,1017,5
Scotland,-9,v Ireland,Murrayfield,2019-02-09,2019,Ireland,81.86,91.18,4,1017,7
Italy,-11,v Wales,Rome,2019-02-09,2019,Wales,72.76,87.26,8,1004,17
France,13,v Italy,Stade de France,2020-02-09,2020,Italy,85.66,70.88,0,1017,5
France,12,v Italy,Stade de France,2008-03-09,2008,Italy,80.36,73.29,0,1017,5
Ireland,0,v France,Lansdowne Road,2013-03-09,2013,France,80.22,85.07,0,1020,29
Scotland,-10,v Wales,Murrayfield,2013-03-09,2013,Wales,75.83,78.39,4,1017,7
England,11,v Wales,Twickenham,2014-03-09,2014,Wales,85.7,80.19,2,1017,11
Scotland,-7,v Wales,Murrayfield,2019-03-09,2019,Wales,81.86,87.26,4,1017,7
England,43,v Italy,Twickenham,2019-03-09,2019,Italy,86.23,72.76,2,1017,11